id_estudiante,nombre,apellido,edad,genero,carrera,semestre,email,telefono,calificaciones_anteriores,asistencia_porcentaje,participacion_clase,horas_estudio_semanal,nivel_socioeconomico,rendimiento_riesgo,nota_matematicas,nota_ciencias,nota_lenguaje,nota_historia,promedio_general,creditos_aprobados,creditos_totales,fecha_ingreso,estado_academico,motivo_riesgo
12,Julieta,Vargas,24,F,Educación,7,julieta.vargas@universidad.edu,555-0012,5.41,74,2,16,Medio,1,5.4,5.5,5.8,5.7,5.6,105,140,2022-07-17,En Riesgo,Problemas familiares
13,Miguel,Aguilar,20,M,Arte,8,miguel.aguilar@universidad.edu,555-0013,7.06,76,3,18,Bajo,0,7.1,7.4,7.4,7.0,7.2,86,160,2022-01-18,Condicional,
14,Magdalena,López,24,F,Administración,4,magdalena.lópez@universidad.edu,555-0014,8.14,83,2,2,Alto,0,8.6,7.7,7.9,8.3,8.1,45,80,2024-01-18,Activo,
15,Esperanza,Flores,23,F,Arquitectura,6,esperanza.flores@universidad.edu,555-0015,5.28,58,5,1,Alto,1,5.7,4.9,5.0,4.8,5.1,90,120,2023-01-18,En Riesgo,
16,Vicente,Aguilar,25,M,Enfermería,1,vicente.aguilar@universidad.edu,555-0016,7.51,82,1,18,Bajo,0,7.7,7.9,8.0,8.0,7.9,15,20,2025-07-16,Activo,
17,Magdalena,Aguilar,24,F,Medicina,1,magdalena.aguilar@universidad.edu,555-0017,9.65,74,2,8,Bajo,0,9.9,9.4,9.9,9.2,9.6,15,20,2025-07-16,Activo,
18,Santiago,Herrera,18,M,Psicología,7,santiago.herrera@universidad.edu,555-0018,6.18,82,5,4,Alto,0,5.8,6.5,6.3,6.7,6.3,105,140,2022-07-17,Activo,
19,Matías,Medina,22,M,Arquitectura,5,matías.medina@universidad.edu,555-0019,9.89,92,2,23,Alto,0,9.4,9.5,9.8,10.0,9.7,52,100,2023-07-17,Condicional,
20,Daniela,Moreno,26,F,Economía,8,daniela.moreno@universidad.edu,555-0020,5.55,95,3,13,Medio,0,5.7,5.3,5.3,5.6,5.5,120,160,2022-01-18,Activo,
21,Regina,Herrera,23,F,Arquitectura,6,regina.herrera@universidad.edu,555-0021,6.97,100,5,15,Bajo,0,7.3,6.5,7.5,6.8,7.0,90,120,2023-01-18,Activo,
22,Santiago,López,21,M,Medicina,8,santiago.lópez@universidad.edu,555-0022,6.62,61,4,11,Alto,0,6.2,6.4,6.8,6.2,6.4,120,160,2022-01-18,Activo,
23,Ignacio,Rojas,18,M,Arquitectura,7,ignacio.rojas@universidad.edu,555-0023,9.32,99,5,20,Alto,0,9.8,9.7,9.1,9.2,9.4,105,140,2022-07-17,Activo,
24,Nicolás,Jiménez,18,M,Economía,8,nicolás.jiménez@universidad.edu,555-0024,4.98,89,5,9,Medio,0,4.8,4.5,5.3,4.7,4.8,120,160,2022-01-18,Condicional,
25,Patricia,Rojas,26,F,Arte,8,patricia.rojas@universidad.edu,555-0025,4.51,63,5,24,Bajo,1,4.5,4.1,4.7,4.1,4.3,120,160,2022-01-18,En Riesgo,Baja asistencia
26,Julieta,Torres,24,F,Administración,2,julieta.torres@universidad.edu,555-0026,8.47,51,3,6,Bajo,1,8.4,8.8,8.1,8.2,8.4,30,40,2025-01-17,En Riesgo,Problemas económicos
27,Isidora,Vargas,18,F,Derecho,7,isidora.vargas@universidad.edu,555-0027,9.19,85,5,21,Alto,0,8.7,9.3,9.0,9.2,9.1,105,140,2022-07-17,Condicional,
28,Tomás,Medina,21,M,Arte,8,tomás.medina@universidad.edu,555-0028,6.19,62,1,10,Bajo,1,6.1,6.6,6.5,6.4,6.4,120,160,2022-01-18,En Riesgo,
29,Gabriel,Vega,22,M,Administración,8,gabriel.vega@universidad.edu,555-0029,5.14,93,4,10,Alto,0,5.1,4.9,4.8,4.8,4.9,106,160,2022-01-18,Activo,
30,Florencia,Ramos,25,F,Arte,6,florencia.ramos@universidad.edu,555-0030,8.76,72,5,7,Bajo,0,8.8,8.4,8.3,8.3,8.5,75,120,2023-01-18,Activo,
31,Daniela,Moreno,19,F,Administración,8,daniela.moreno@universidad.edu,555-0031,8.85,65,4,16,Bajo,0,8.9,8.9,8.4,8.9,8.8,120,160,2022-01-18,Activo,
32,Natalia,Ramírez,22,F,Arquitectura,8,natalia.ramírez@universidad.edu,555-0032,5.68,88,4,21,Medio,0,5.9,6.0,5.6,6.1,5.9,120,160,2022-01-18,Activo,
33,Florencia,García,22,F,Derecho,5,florencia.garcía@universidad.edu,555-0033,4.05,71,2,25,Medio,1,4.0,4.0,4.4,4.0,4.1,75,100,2023-07-17,En Riesgo,Pocas horas de estudio
34,Magdalena,Vega,22,F,Derecho,1,magdalena.vega@universidad.edu,555-0034,5.96,95,3,5,Medio,1,6.1,5.9,5.6,5.6,5.8,15,20,2025-07-16,En Riesgo,
35,Emilio,González,25,M,Economía,4,emilio.gonzález@universidad.edu,555-0035,7.14,54,2,19,Bajo,1,6.7,7.5,6.6,7.4,7.0,56,80,2024-01-18,En Riesgo,Problemas familiares
36,Javiera,Herrera,23,F,Educación,8,javiera.herrera@universidad.edu,555-0036,8.73,50,2,11,Alto,1,8.5,8.2,9.1,8.9,8.7,120,160,2022-01-18,En Riesgo,Problemas económicos
37,Esperanza,Castillo,19,F,Psicología,5,esperanza.castillo@universidad.edu,555-0037,5.26,86,2,14,Alto,1,5.7,5.2,5.6,5.0,5.4,57,100,2023-07-17,En Riesgo,Pocas horas de estudio
38,Amparo,Moreno,19,F,Arte,1,amparo.moreno@universidad.edu,555-0038,6.99,50,1,24,Medio,1,6.9,7.2,6.5,7.3,7.0,15,20,2025-07-16,En Riesgo,Problemas económicos
39,Magdalena,Morales,18,F,Enfermería,8,magdalena.morales@universidad.edu,555-0039,5.45,65,1,18,Bajo,1,5.4,5.8,5.5,5.0,5.4,111,160,2022-01-18,En Riesgo,Problemas económicos
40,Santiago,Rojas,21,M,Ingeniería,8,santiago.rojas@universidad.edu,555-0040,7.9,85,2,6,Alto,0,7.8,7.6,7.7,7.6,7.7,97,160,2022-01-18,Activo,
41,Carlos,Medina,19,M,Enfermería,4,carlos.medina@universidad.edu,555-0041,9.63,82,5,22,Bajo,0,9.5,9.8,9.8,9.2,9.6,58,80,2024-01-18,Condicional,
42,Maximiliano,Pérez,20,M,Derecho,3,maximiliano.pérez@universidad.edu,555-0042,6.3,70,1,21,Bajo,0,6.0,6.5,6.0,6.6,6.3,45,60,2024-07-16,Activo,
43,Roberto,Moreno,22,M,Arte,5,roberto.moreno@universidad.edu,555-0043,4.1,73,4,18,Medio,0,4.1,4.0,4.5,4.0,4.2,75,100,2023-07-17,Activo,
44,Patricia,Ramírez,25,F,Economía,7,patricia.ramírez@universidad.edu,555-0044,4.31,81,4,12,Medio,0,4.3,4.0,4.4,4.5,4.3,105,140,2022-07-17,Activo,
45,Tomás,Moreno,25,M,Medicina,4,tomás.moreno@universidad.edu,555-0045,4.86,79,1,18,Medio,1,5.2,4.4,4.8,4.5,4.7,55,80,2024-01-18,En Riesgo,
46,Valentina,Sánchez,20,F,Ingeniería,7,valentina.sánchez@universidad.edu,555-0046,6.31,58,1,19,Bajo,1,6.7,6.3,6.0,6.5,6.4,105,140,2022-07-17,En Riesgo,Bajo rendimiento académico
47,Matías,Guerrero,25,M,Medicina,6,matías.guerrero@universidad.edu,555-0047,7.22,56,5,24,Medio,0,7.5,7.7,6.9,7.1,7.3,88,120,2023-01-18,Activo,
48,Gabriel,Morales,22,M,Medicina,3,gabriel.morales@universidad.edu,555-0048,5.64,100,3,18,Alto,0,6.0,5.4,5.2,5.4,5.5,40,60,2024-07-16,Activo,
49,Mariana,Morales,23,F,Administración,5,mariana.morales@universidad.edu,555-0049,4.53,78,5,4,Alto,1,4.0,4.1,5.0,4.4,4.4,50,100,2023-07-17,En Riesgo,
50,Sofía,Ramos,20,F,Economía,4,sofía.ramos@universidad.edu,555-0050,9.22,95,1,17,Alto,0,9.2,9.0,9.0,9.7,9.2,44,80,2024-01-18,Activo,
51,Patricia,López,24,F,Enfermería,2,patricia.lópez@universidad.edu,555-0051,6.81,68,3,5,Medio,1,6.8,7.2,6.9,7.1,7.0,21,40,2025-01-17,En Riesgo,Baja asistencia
52,Maximiliano,Rojas,19,M,Economía,5,maximiliano.rojas@universidad.edu,555-0052,5.32,55,3,25,Medio,1,5.5,5.7,4.9,5.5,5.4,69,100,2023-07-17,En Riesgo,Problemas familiares
53,Alejandro,Morales,26,M,Arte,3,alejandro.morales@universidad.edu,555-0053,4.73,81,2,17,Medio,1,4.8,5.0,5.2,4.7,4.9,45,60,2024-07-16,En Riesgo,Baja participación
54,Lucía,Delgado,23,F,Educación,4,lucía.delgado@universidad.edu,555-0054,6.16,50,2,22,Alto,1,6.2,6.0,6.4,5.9,6.1,45,80,2024-01-18,En Riesgo,Problemas económicos
55,Vicente,Herrera,25,M,Arte,5,vicente.herrera@universidad.edu,555-0055,7.13,55,3,16,Bajo,0,7.4,6.8,6.9,7.3,7.1,67,100,2023-07-17,Condicional,
56,Mariana,Ruiz,20,F,Derecho,7,mariana.ruiz@universidad.edu,555-0056,5.98,85,4,10,Bajo,0,6.2,6.2,6.4,6.4,6.3,85,140,2022-07-17,Condicional,
57,José,Aguilar,22,M,Medicina,5,josé.aguilar@universidad.edu,555-0057,7.44,90,3,17,Bajo,0,7.3,7.4,7.1,7.5,7.3,75,100,2023-07-17,Condicional,
58,Emilio,Herrera,25,M,Arquitectura,6,emilio.herrera@universidad.edu,555-0058,9.13,51,4,6,Medio,1,9.6,9.2,8.9,9.0,9.2,90,120,2023-01-18,En Riesgo,
59,Ignacio,González,24,M,Administración,1,ignacio.gonzález@universidad.edu,555-0059,8.58,91,3,8,Bajo,0,8.3,8.6,9.1,8.4,8.6,14,20,2025-07-16,Activo,
60,Fernando,González,23,M,Economía,2,fernando.gonzález@universidad.edu,555-0060,7.53,78,2,1,Alto,0,7.7,8.0,7.8,7.7,7.8,26,40,2025-01-17,Condicional,
61,Carmen,Ruiz,25,F,Derecho,4,carmen.ruiz@universidad.edu,555-0061,8.57,73,1,2,Alto,0,8.1,8.9,8.7,8.4,8.5,60,80,2024-01-18,Activo,
62,Maximiliano,García,20,M,Derecho,7,maximiliano.garcía@universidad.edu,555-0062,6.11,55,2,9,Medio,1,6.2,5.6,5.6,6.5,6.0,105,140,2022-07-17,En Riesgo,Pocas horas de estudio
63,Benjamín,Vargas,21,M,Ingeniería,4,benjamín.vargas@universidad.edu,555-0063,9.68,86,2,12,Medio,0,10.0,9.9,10.0,10.0,10.0,43,80,2024-01-18,Condicional,
64,Carmen,Medina,22,F,Psicología,1,carmen.medina@universidad.edu,555-0064,7.78,82,1,14,Bajo,0,7.5,7.9,7.9,8.3,7.9,10,20,2025-07-16,Activo,
65,Emilio,Torres,18,M,Arte,3,emilio.torres@universidad.edu,555-0065,4.64,82,3,4,Bajo,1,5.0,4.2,4.1,4.7,4.5,35,60,2024-07-16,En Riesgo,Bajo rendimiento académico
66,Mariana,Ortega,24,F,Educación,7,mariana.ortega@universidad.edu,555-0066,9.88,85,1,12,Alto,0,9.4,9.5,10.0,10.0,9.7,105,140,2022-07-17,Condicional,
67,Natalia,García,25,F,Arquitectura,3,natalia.garcía@universidad.edu,555-0067,8.53,66,4,11,Medio,0,8.9,8.9,8.4,8.3,8.6,34,60,2024-07-16,Condicional,
68,Miguel,Ruiz,23,M,Ingeniería,3,miguel.ruiz@universidad.edu,555-0068,7.96,77,4,19,Bajo,0,8.1,8.0,7.9,8.0,8.0,36,60,2024-07-16,Activo,
69,Esperanza,Herrera,23,F,Educación,8,esperanza.herrera@universidad.edu,555-0069,9.53,61,3,4,Alto,1,9.5,9.1,9.4,9.2,9.3,120,160,2022-01-18,En Riesgo,
70,Magdalena,Aguilar,20,F,Arte,7,magdalena.aguilar@universidad.edu,555-0070,4.1,77,5,15,Bajo,0,4.0,4.0,4.5,4.4,4.2,77,140,2022-07-17,Activo,
71,Lucía,Silva,19,F,Arquitectura,1,lucía.silva@universidad.edu,555-0071,7.63,86,3,8,Alto,0,8.1,7.9,7.3,7.9,7.8,15,20,2025-07-16,Activo,
72,Laura,Moreno,23,F,Economía,4,laura.moreno@universidad.edu,555-0072,5.54,95,2,19,Bajo,1,5.8,5.5,5.3,6.0,5.7,60,80,2024-01-18,En Riesgo,Pocas horas de estudio
73,Vicente,Medina,26,M,Economía,4,vicente.medina@universidad.edu,555-0073,8.09,58,5,16,Bajo,0,8.5,8.0,7.7,7.8,8.0,60,80,2024-01-18,Activo,
74,Benjamín,García,18,M,Psicología,7,benjamín.garcía@universidad.edu,555-0074,5.7,65,1,20,Medio,1,5.7,6.1,5.6,6.1,5.9,105,140,2022-07-17,En Riesgo,Baja participación
75,Cristóbal,Morales,22,M,Educación,2,cristóbal.morales@universidad.edu,555-0075,9.58,89,4,9,Bajo,0,9.4,9.3,9.8,9.2,9.4,30,40,2025-01-17,Activo,
76,Andrés,López,24,M,Enfermería,1,andrés.lópez@universidad.edu,555-0076,5.79,66,5,20,Medio,1,5.9,5.6,5.7,5.8,5.8,15,20,2025-07-16,En Riesgo,Problemas familiares
77,Emilio,Rojas,23,M,Ingeniería,4,emilio.rojas@universidad.edu,555-0077,4.31,51,2,23,Bajo,1,4.7,4.8,4.0,4.0,4.4,49,80,2024-01-18,En Riesgo,Baja asistencia
78,Florencia,Mendoza,21,F,Educación,5,florencia.mendoza@universidad.edu,555-0078,8.36,84,3,5,Bajo,0,8.7,8.2,7.9,8.5,8.3,75,100,2023-07-17,Activo,
79,Mateo,Castro,20,M,Enfermería,3,mateo.castro@universidad.edu,555-0079,7.08,86,1,8,Medio,0,6.7,7.2,7.2,7.1,7.1,45,60,2024-07-16,Activo,
80,Mateo,Delgado,26,M,Administración,4,mateo.delgado@universidad.edu,555-0080,6.51,87,2,25,Bajo,0,7.0,6.8,6.8,6.7,6.8,56,80,2024-01-18,Activo,
81,Laura,Guerrero,20,F,Economía,7,laura.guerrero@universidad.edu,555-0081,8.52,67,1,8,Bajo,1,8.9,8.3,8.1,8.5,8.5,84,140,2022-07-17,En Riesgo,Pocas horas de estudio
82,Laura,Vega,21,F,Educación,6,laura.vega@universidad.edu,555-0082,8.89,63,4,9,Medio,0,8.8,9.1,8.6,8.9,8.8,90,120,2023-01-18,Condicional,
83,Daniela,García,24,F,Psicología,1,daniela.garcía@universidad.edu,555-0083,5.74,51,5,13,Medio,1,5.4,5.6,5.7,5.7,5.6,15,20,2025-07-16,En Riesgo,Baja participación
84,Javiera,Jiménez,25,F,Ingeniería,6,javiera.jiménez@universidad.edu,555-0084,5.46,76,2,8,Alto,1,5.1,5.9,5.9,5.8,5.7,90,120,2023-01-18,En Riesgo,Pocas horas de estudio
85,Daniela,Mendoza,22,F,Arquitectura,8,daniela.mendoza@universidad.edu,555-0085,5.64,71,5,14,Alto,0,5.3,5.2,5.4,5.8,5.4,81,160,2022-01-18,Activo,
86,José,García,20,M,Arte,4,josé.garcía@universidad.edu,555-0086,4.38,99,3,16,Medio,0,4.0,4.7,4.0,4.5,4.3,60,80,2024-01-18,Activo,
87,Isidora,Rodríguez,24,F,Ingeniería,5,isidora.rodríguez@universidad.edu,555-0087,7.24,89,2,7,Bajo,0,7.2,7.2,6.8,7.0,7.0,75,100,2023-07-17,Activo,
88,Isabella,Rodríguez,26,F,Administración,4,isabella.rodríguez@universidad.edu,555-0088,5.78,55,1,11,Medio,1,5.6,5.7,6.0,6.0,5.8,54,80,2024-01-18,En Riesgo,Pocas horas de estudio
89,Magdalena,Flores,26,F,Enfermería,1,magdalena.flores@universidad.edu,555-0089,7.43,96,2,3,Bajo,0,7.3,7.0,7.9,7.8,7.5,15,20,2025-07-16,Condicional,
90,Natalia,López,26,F,Arte,8,natalia.lópez@universidad.edu,555-0090,9.03,53,5,22,Alto,0,9.5,8.7,8.7,9.0,9.0,120,160,2022-01-18,Activo,
91,Miguel,Silva,20,M,Arquitectura,1,miguel.silva@universidad.edu,555-0091,9.68,63,4,7,Medio,1,9.9,10.0,9.8,9.2,9.7,12,20,2025-07-16,En Riesgo,Problemas familiares
92,Alejandro,Moreno,26,M,Arte,1,alejandro.moreno@universidad.edu,555-0092,9.07,88,2,13,Medio,0,9.5,9.4,9.1,9.2,9.3,12,20,2025-07-16,Activo,
93,Isidora,Romero,25,F,Medicina,4,isidora.romero@universidad.edu,555-0093,9.46,59,3,10,Bajo,0,9.7,9.2,9.8,9.0,9.4,60,80,2024-01-18,Activo,
94,Andrés,Herrera,21,M,Educación,7,andrés.herrera@universidad.edu,555-0094,6.85,92,2,10,Medio,0,7.1,6.9,7.1,7.1,7.1,105,140,2022-07-17,Activo,
95,Ana,Vargas,19,F,Administración,5,ana.vargas@universidad.edu,555-0095,5.56,85,2,1,Bajo,1,5.7,5.3,5.6,5.3,5.5,57,100,2023-07-17,En Riesgo,
96,Esteban,García,23,M,Derecho,2,esteban.garcía@universidad.edu,555-0096,6.18,50,5,14,Bajo,0,6.3,6.0,6.0,6.5,6.2,30,40,2025-01-17,Activo,
97,Daniela,Rodríguez,21,F,Enfermería,7,daniela.rodríguez@universidad.edu,555-0097,7.99,60,3,8,Alto,0,8.3,7.6,7.8,7.6,7.8,105,140,2022-07-17,Activo,
98,Esteban,Flores,21,M,Economía,8,esteban.flores@universidad.edu,555-0098,8.34,84,2,25,Medio,0,8.6,8.3,8.0,8.7,8.4,120,160,2022-01-18,Activo,
99,Nicolás,Sánchez,22,M,Psicología,5,nicolás.sánchez@universidad.edu,555-0099,5.26,90,4,9,Medio,0,5.7,5.7,5.4,5.5,5.6,69,100,2023-07-17,Activo,
100,Javiera,Jiménez,18,F,Psicología,2,javiera.jiménez@universidad.edu,555-0100,6.7,77,2,24,Alto,0,6.8,6.4,6.9,7.1,6.8,26,40,2025-01-17,Activo,
101,Amparo,Jiménez,19,F,Ingeniería,3,amparo.jiménez@universidad.edu,555-0101,8.42,74,5,11,Bajo,0,8.2,8.7,8.7,8.9,8.6,45,60,2024-07-16,Activo,
102,Roberto,Silva,19,M,Arte,6,roberto.silva@universidad.edu,555-0102,5.13,64,5,10,Medio,1,4.8,4.8,5.5,5.4,5.1,90,120,2023-01-18,En Riesgo,Baja asistencia
103,Daniela,Delgado,25,F,Medicina,8,daniela.delgado@universidad.edu,555-0103,6.28,93,1,21,Alto,0,5.8,6.2,6.0,6.3,6.1,120,160,2022-01-18,Activo,
104,Tomás,Castillo,24,M,Arte,1,tomás.castillo@universidad.edu,555-0104,6.6,52,3,8,Bajo,0,6.7,7.0,6.4,7.1,6.8,15,20,2025-07-16,Activo,
105,Rodrigo,Romero,20,M,Arquitectura,1,rodrigo.romero@universidad.edu,555-0105,8.15,69,1,21,Bajo,1,8.3,8.6,7.8,8.6,8.3,12,20,2025-07-16,En Riesgo,Bajo rendimiento académico
106,Fernando,García,21,M,Educación,4,fernando.garcía@universidad.edu,555-0106,4.51,75,3,20,Bajo,0,4.9,5.0,4.1,4.6,4.7,49,80,2024-01-18,Activo,
107,Renata,Rojas,24,F,Enfermería,2,renata.rojas@universidad.edu,555-0107,8.05,100,2,14,Bajo,0,8.0,7.7,7.7,7.8,7.8,30,40,2025-01-17,Activo,
108,Tomás,Silva,25,M,Economía,4,tomás.silva@universidad.edu,555-0108,7.02,53,3,18,Alto,0,7.1,7.4,7.0,6.9,7.1,47,80,2024-01-18,Condicional,
109,Andrés,Ruiz,18,M,Ingeniería,6,andrés.ruiz@universidad.edu,555-0109,7.4,53,3,4,Alto,1,7.6,7.7,7.6,7.5,7.6,90,120,2023-01-18,En Riesgo,Baja asistencia
110,Lucía,López,24,F,Economía,7,lucía.lópez@universidad.edu,555-0110,8.73,64,3,12,Medio,0,9.1,8.9,9.1,9.0,9.0,105,140,2022-07-17,Condicional,
111,Nicolás,Medina,26,M,Arquitectura,5,nicolás.medina@universidad.edu,555-0111,4.74,73,3,9,Medio,0,5.1,4.8,4.9,5.2,5.0,52,100,2023-07-17,Activo,
112,Andrés,Ramos,18,M,Enfermería,1,andrés.ramos@universidad.edu,555-0112,5.16,95,3,10,Bajo,0,5.4,4.8,5.1,5.2,5.1,14,20,2025-07-16,Activo,
113,Carmen,Sánchez,19,F,Arte,6,carmen.sánchez@universidad.edu,555-0113,5.63,57,1,12,Medio,1,5.7,5.2,5.2,5.8,5.5,77,120,2023-01-18,En Riesgo,Baja participación
114,Alejandro,González,20,M,Derecho,8,alejandro.gonzález@universidad.edu,555-0114,9.06,99,3,15,Alto,0,9.1,9.0,8.9,8.7,8.9,119,160,2022-01-18,Activo,
115,Santiago,Delgado,26,M,Arquitectura,6,santiago.delgado@universidad.edu,555-0115,4.94,78,4,11,Medio,0,4.7,5.1,5.3,4.5,4.9,90,120,2023-01-18,Activo,
116,Fernando,Moreno,21,M,Psicología,3,fernando.moreno@universidad.edu,555-0116,7.31,82,1,22,Medio,0,7.5,7.2,7.1,7.3,7.3,45,60,2024-07-16,Activo,
117,Julieta,Moreno,18,F,Educación,8,julieta.moreno@universidad.edu,555-0117,7.38,68,2,2,Bajo,1,7.5,7.5,7.9,7.5,7.6,102,160,2022-01-18,En Riesgo,Baja asistencia
118,Maximiliano,García,24,M,Educación,8,maximiliano.garcía@universidad.edu,555-0118,5.74,85,3,14,Medio,0,6.2,5.6,5.4,5.7,5.7,104,160,2022-01-18,Activo,
119,José,Silva,19,M,Enfermería,7,josé.silva@universidad.edu,555-0119,6.8,79,2,20,Medio,0,6.4,6.6,6.8,6.3,6.5,105,140,2022-07-17,Activo,
120,Emilio,Ramírez,20,M,Arte,8,emilio.ramírez@universidad.edu,555-0120,9.78,50,5,22,Medio,0,10.0,9.9,9.6,9.9,9.8,120,160,2022-01-18,Activo,
121,Isidora,Vega,24,F,Ingeniería,4,isidora.vega@universidad.edu,555-0121,5.42,94,2,10,Alto,1,5.0,5.9,5.4,5.3,5.4,51,80,2024-01-18,En Riesgo,Pocas horas de estudio
122,Maximiliano,Rojas,22,M,Administración,2,maximiliano.rojas@universidad.edu,555-0122,9.5,83,2,10,Bajo,0,9.9,10.0,9.4,9.2,9.6,30,40,2025-01-17,Activo,
123,Antonella,Ortega,21,F,Economía,3,antonella.ortega@universidad.edu,555-0123,5.0,89,1,18,Alto,1,4.7,4.9,5.2,5.2,5.0,41,60,2024-07-16,En Riesgo,Baja participación
124,Benjamín,Morales,23,M,Educación,5,benjamín.morales@universidad.edu,555-0124,9.33,95,1,20,Alto,0,9.2,9.5,9.0,9.5,9.3,58,100,2023-07-17,Condicional,
125,Carlos,Rodríguez,23,M,Enfermería,8,carlos.rodríguez@universidad.edu,555-0125,6.95,69,4,7,Alto,1,7.3,7.3,6.7,7.2,7.1,120,160,2022-01-18,En Riesgo,Baja participación
126,Laura,López,21,F,Ingeniería,4,laura.lópez@universidad.edu,555-0126,8.16,56,3,8,Bajo,0,8.3,8.5,8.6,8.3,8.4,60,80,2024-01-18,Condicional,
127,Maximiliano,Delgado,22,M,Arquitectura,5,maximiliano.delgado@universidad.edu,555-0127,9.22,61,3,3,Medio,1,8.8,9.4,8.8,8.8,9.0,73,100,2023-07-17,En Riesgo,
128,Ignacio,González,25,M,Medicina,7,ignacio.gonzález@universidad.edu,555-0128,4.59,90,1,22,Bajo,1,4.7,4.9,4.8,4.9,4.8,105,140,2022-07-17,En Riesgo,Baja asistencia
129,Regina,Vargas,21,F,Derecho,4,regina.vargas@universidad.edu,555-0129,5.56,78,1,14,Alto,1,5.2,6.0,5.3,5.4,5.5,52,80,2024-01-18,En Riesgo,Problemas familiares
130,María,Castillo,25,F,Economía,4,maría.castillo@universidad.edu,555-0130,7.92,87,5,22,Bajo,0,8.0,8.1,8.0,8.4,8.1,54,80,2024-01-18,Activo,
131,Fernando,Rodríguez,20,M,Enfermería,5,fernando.rodríguez@universidad.edu,555-0131,9.06,86,5,23,Alto,0,9.1,8.8,9.1,9.4,9.1,66,100,2023-07-17,Activo,
132,Laura,Ortega,18,F,Psicología,2,laura.ortega@universidad.edu,555-0132,5.26,52,3,22,Medio,1,5.7,5.6,5.7,5.6,5.7,30,40,2025-01-17,En Riesgo,Pocas horas de estudio
133,Regina,Hernández,18,F,Administración,4,regina.hernández@universidad.edu,555-0133,9.17,97,5,21,Medio,0,8.7,9.6,9.0,9.2,9.1,60,80,2024-01-18,Activo,
134,Andrés,Medina,26,M,Derecho,3,andrés.medina@universidad.edu,555-0134,6.49,90,5,13,Medio,0,6.0,6.0,6.9,6.9,6.4,45,60,2024-07-16,Activo,
135,Sofía,Mendoza,25,F,Medicina,1,sofía.mendoza@universidad.edu,555-0135,8.05,99,4,21,Alto,0,8.1,8.4,8.2,8.3,8.2,15,20,2025-07-16,Condicional,
136,Constanza,Morales,19,F,Derecho,8,constanza.morales@universidad.edu,555-0136,4.87,80,1,22,Medio,1,5.1,4.4,5.0,5.2,4.9,89,160,2022-01-18,En Riesgo,Baja asistencia
137,Antonella,Aguilar,18,F,Medicina,4,antonella.aguilar@universidad.edu,555-0137,9.0,58,5,23,Medio,0,8.8,8.8,8.6,8.7,8.7,60,80,2024-01-18,Condicional,
